gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0.30517578,-2.6855469,-2.380371,-0.061052144,-0.045489833,-9.825804
0.24414062,-2.6245117,-2.5024414,-0.06464344,-0.05746084,-9.848549
0.36621094,-2.6245117,-2.319336,-0.061052144,-0.06344634,-9.849746
0.4272461,-2.6855469,-2.380371,-0.055066638,-0.061052144,-9.850943
0.4272461,-2.746582,-2.380371,-0.062249243,-0.079008654,-9.849746
0.4272461,-2.6245117,-2.380371,-0.06823475,-0.076614454,-9.846154
0.30517578,-2.746582,-2.319336,-0.088585466,-0.06943185,-9.774328
-1.6479492,-4.0893555,-0.24414062,2.1787236,-2.7832594,-8.968679
-22.705078,-18.859863,17.333984,2.3451207,-1.1384429,-10.617087
-6.1035156,-7.446289,30.029297,2.0039468,-3.4715924,-10.929531
14.587402,4.5166016,45.47119,2.7473464,-3.8426938,-10.392033
-0.061035156,-3.540039,83.740234,5.133168,-3.7696705,-9.332599
-3.7231445,-6.1035156,100.83008,5.8933277,-4.2904096,-10.419566
-2.6855469,-7.446289,123.35205,5.547365,-3.6032736,-9.763555
-1.8920898,-6.4697266,139.95361,3.9492357,-1.4544775,-9.902418
20.019531,11.413574,145.56885,1.4820108,5.505467,-10.913968
25.634766,17.8833,151.30615,0.21787235,5.353435,-13.970167
0.7324219,-5.2490234,155.82275,-0.06943185,5.3498435,-10.279505
-0.7324219,-3.8452148,159.11865,0.79966336,3.0442274,-7.937976
1.2207031,-3.4179688,167.29736,1.2689269,2.4013844,-9.296685
-0.91552734,-5.004883,179.80957,1.1575965,2.1823149,-10.439917
0.7324219,-4.5166016,189.5752,0.4405331,0.6560113,-10.727221
-7.751465,-10.620117,193.96973,0.39145198,-0.90740246,-11.783064
9.399414,-0.9765625,195.37354,0.7613561,-1.1336545,-10.787076
11.169434,-0.48828125,204.71191,-1.423353,-1.5442601,-10.9822035
2.9296875,-3.479004,226.3794,-1.9716251,-0.7302315,-8.525752
7.3242188,-1.2207031,244.56787,-1.0965444,-1.412579,-8.53054
14.526367,2.5634766,261.7798,-1.1815386,-1.340753,-9.526528
4.638672,-2.6855469,274.78027,-2.4121583,2.4253263,-10.560823
4.3945312,1.159668,275.8789,-0.94690675,-0.110133275,-9.744401
3.540039,0.48828125,285.52246,0.6991069,-1.496376,-8.39886
3.4179688,2.8076172,304.19922,0.6596026,-1.7082629,-9.54209
6.1035156,4.211426,320.3125,0.39384618,-0.49559975,-8.9758625
7.6293945,6.164551,324.89014,-1.3347675,0.6572084,-9.202114
12.634277,8.300781,312.1338,-3.764882,3.3662477,-9.179369
1.7089844,0.7324219,244.14062,-4.119224,4.9045224,-10.74398
7.8125,1.7089844,207.03125,-1.5741876,5.3139305,-11.668142
